algorithm,scenario,type,size,obj_value,cv_obj_value,runtime,cv_runtime
GRASP,1,FC,700,677.9,7.389621553776504,2694.5842294051,65.29481728644802
GRASP,1,FC,800,645.6,8.605355912994634,5951.0990365304,43.61186616674558
GRASP,1,FC,1000,634.6,4.641514418644908,12955.387253267301,30.78356052556761
GRASP,1,NC,300,577.2,10.978223701613606,24.568858942499997,34.39942438755926
GRASP,1,NC,500,478.1,11.365690382408594,843.0710547655001,47.723878831948056
GRASP,1,NC,700,395.9,9.44535157815273,1936.1967238817997,26.075056660101037
GRASP,1,NC,800,355.3,11.844836180132218,3301.9889089164003,61.82348260285492
GRASP,1,NC,1000,315.0,NaN,3466.945386595,NaN
GRASP,2,C,300,377.7,10.793690890847667,15.200137163200003,29.776490085860015
GRASP,2,C,500,273.9,10.829767733374476,242.03933539179997,30.066364072516986
GRASP,2,C,700,207.9,16.026052532313212,529.2855228276001,32.629985615319995
GRASP,2,C,800,209.0,2.029971620631237,965.776004636,0.6518926201664127
GRASP,2,NC,300,246.1,14.217926095342792,12.050358613500002,54.542762570686065
GRASP,2,NC,500,163.5,21.47990018283294,127.41760778809999,39.386557845423184
GRASP,2,NC,700,130.0,14.946760658245816,328.564411731,37.62830361471777
GRASP,2,NC,800,110.7,7.689325126665357,593.5832519738001,30.84512481721208
GRASP,2,NC,1000,99.1,17.311626455259642,726.6707099239,19.7260485585151
GRASP,3,C,300,664.2,6.349550560971058,14.382776648499998,123.55316730329169
GRASP,3,C,500,1062.6,6.748649443438387,613.0503895884,39.002005050360125
GRASP,3,C,700,1438.6,4.472384494935098,4081.5837159201997,38.901470195350534
GRASP,3,C,800,1643.0,2.897861022513341,9447.1022485737,47.347120093470586
GRASP,3,C,1000,1992.75,2.9175720707866946,23884.545955564754,6.503536082954336
GRASP,3,NC,300,698.2,11.343237587223088,109.6057258348,65.7377467285587
GRASP,3,NC,500,1085.4,3.117455640946215,1813.4318954979,42.87913315058573
Tabu_Search,1,C,300,408.3,71.61485901338793,19.076181986599998,66.91868965274531
Tabu_Search,1,C,500,492.6666666666667,75.23111732659216,227.98952316177778,34.08730211712677
Tabu_Search,1,C,700,387.1,86.41987355654403,579.7880042483,44.04584754521393
Tabu_Search,1,C,800,352.3,86.29082507620367,835.8963596742,23.610152893315767
Tabu_Search,1,C,1000,397.2,53.483127773875516,1374.9935545981,29.682846227873345
Tabu_Search,1,FC,300,240.7,110.1879349979501,4.874910139199999,33.11235280633397
Tabu_Search,1,FC,500,341.0,105.53473153717565,167.29819668099998,42.970955195410234
Tabu_Search,1,FC,700,465.1,69.50361535228508,565.5859378761,22.00368384656128
Tabu_Search,1,FC,800,588.1,35.73073821542814,957.0632545076002,26.21707415693912
Tabu_Search,1,FC,1000,436.0,69.46996603850754,1839.0217900238,29.954228756276848
Tabu_Search,1,NC,300,496.2,40.32723717597172,10.560941038600001,31.201474034406385
Tabu_Search,1,NC,500,377.7,54.14564708728613,164.2801707872,40.54587171426887
Tabu_Search,1,NC,700,288.1,69.0784612602059,424.87119207819995,34.638026926588694
Tabu_Search,1,NC,800,257.5,69.50365423374386,540.3628045349001,33.28362142329964
Tabu_Search,1,NC,1000,263.5,53.28379262913817,2142.5349551339,67.87742426407944
Tabu_Search,2,C,300,148.6,129.47948458697186,3.4349012846999996,39.20167173109919
Tabu_Search,2,C,500,236.9,53.04925945454099,62.4567602427,52.243415914546645
Tabu_Search,2,C,700,113.2,87.024771202474,195.2970478988,35.069093977346185
Tabu_Search,2,C,800,150.7,54.94250127401536,243.7608045417,30.083683410040006
Tabu_Search,2,C,1000,106.1,71.23459585933765,359.72408019140005,20.78770161806677
Tabu_Search,2,FC,300,257.6,86.22056667684758,6.4436735657,41.94667753463982
Tabu_Search,2,FC,500,251.3,86.46796230851211,197.81582567279997,38.32438267114189
Tabu_Search,2,FC,700,232.1,86.51647655603037,606.7245020853,39.335387490272346
Tabu_Search,2,FC,800,309.1,52.95138873800976,837.4812978997,26.538078134662342
Tabu_Search,2,FC,1000,277.2,69.32892386186708,2063.0020505351,19.722626847376322
Tabu_Search,2,NC,300,200.9,54.33644016587466,2.9973343632000002,39.32996068722431
Tabu_Search,2,NC,500,74.9,130.26075535959762,70.4607227305,29.955562662391277
Tabu_Search,2,NC,700,83.6,87.95856884442294,195.9660191903,33.365899427742264
Tabu_Search,2,NC,800,24.6,212.7690584152623,307.21210078110005,51.47614067541939
Tabu_Search,2,NC,1000,54.4,107.01203257269836,522.0855056503,39.598828795401516
Tabu_Search,3,C,300,483.3,107.17789926212697,59.14531063330001,54.09921836534141
Tabu_Search,3,C,500,585.0,89.26343763834905,417.1634638142999,50.64113361352849
Tabu_Search,3,C,700,931.0,55.62594048271933,1331.4279046641,51.568474400401065
Tabu_Search,3,C,800,1040.2,53.421622869720245,3400.3531000707,37.13541630330253
Tabu_Search,3,C,1000,1404.8,58.94557724023405,10547.591993497099,27.702682744846825
Tabu_Search,3,FC,300,491.4,70.8885461024732,36.8876326293,100.40724965021408
Tabu_Search,3,FC,500,577.1,86.54252192389006,337.10852428879997,37.71478215537773
Tabu_Search,3,FC,700,801.0,72.58322415952479,1319.9344801505001,37.65989304345473
Tabu_Search,3,FC,800,1023.3,56.37411043862956,3059.3289571184,60.497211567948106
Tabu_Search,3,FC,1000,635.2,131.5882311916566,4467.2832170449,57.31373441124189
Tabu_Search,3,NC,300,522.4,63.52074156289338,10.567189171499999,45.24074664128438
Tabu_Search,3,NC,500,671.8,76.91202887395943,313.6849016903,58.77253522067195
Tabu_Search,3,NC,700,1053.5,48.92922821918186,3048.4764215318,34.882861435073885
